Ticker,Company Name,Sector,P/E Ratio,P/B Ratio,Debt-to-Equity,Std Deviation,CAGR,Buy Rating
AAPL,Apple Inc.,Technology,39.844006,64.41465,209.059,0.22187056935892582,0.2931540418292835,Bad
MSFT,Microsoft Corporation,Technology,35.606937,11.1441345,33.657,0.22943371860790393,0.32351977776062935,Good
GOOGL,Alphabet Inc.,Communication Services,22.694038,6.6895714,9.324,0.2892183762565175,0.3140095076034446,Bad
AMZN,"Amazon.com, Inc.",Consumer Cyclical,45.60684,8.657067,61.175,0.30884889119197184,0.5314165856955493,Good
NVDA,NVIDIA Corporation,Technology,55.22047,80.42431,17.221,0.5128134326152806,1.9068659912117862,Good
META,"Meta Platforms, Inc.",Communication Services,29.000473,9.413832,29.811,0.3893185475727554,1.2421738064641956,Good
BRK-B,Berkshire Hathaway Inc.,Financial Services,9.508392,0.0010748538,19.707,0.14333838371732552,0.23043007848339747,Good
TSLA,"Tesla, Inc.",Consumer Cyclical,96.54396,16.11575,18.078,0.5958657700430505,0.38784611903754573,Good
V,Visa Inc.,Financial Services,32.202675,15.590477,53.239,0.16358511750276292,0.2197427685516007,Good
JNJ,Johnson & Johnson,Healthcare,25.18347,5.227834,50.958,0.15740103389225385,-0.04822241374772762,Good
WMT,Walmart Inc.,Consumer Defensive,38.48148,8.980984,69.566,0.16675331005740882,0.37968296821137404,Good
PG,The Procter & Gamble Company,Consumer Defensive,30.244825,8.092821,69.338,0.14890773941977276,0.11198474286102122,Good
MA,Mastercard Incorporated,Financial Services,39.771732,65.06492,244.839,0.16825199121210166,0.22281467725421322,Bad
PYPL,"PayPal Holdings, Inc.",Financial Services,20.368422,4.245537,65.718,0.3510126555144475,0.07539721320446846,Good
UNH,UnitedHealth Group Incorporated,Healthcare,39.300648,5.9092374,74.683,0.23027063932671252,0.07783976429077488,Good
DIS,The Walt Disney Company,Communication Services,42.8125,2.101644,45.188,0.26843810019995784,0.10611061668945787,Good
HD,"The Home Depot, Inc.",Consumer Cyclical,29.147999,73.531425,1095.368,0.20933137987568273,0.18847785396585404,Bad
INTC,Intel Corporation,Technology,,0.9727693,47.906,0.45115638380995965,-0.10621667458802475,Bad
CSCO,"Cisco Systems, Inc.",Technology,25.527897,5.241452,70.647,0.1932549269928101,0.13277006165646288,Good
MRK,"Merck & Co., Inc.",Healthcare,21.30753,5.7948337,85.572,0.19869252170281068,-0.011885866546551105,Good
XOM,Exxon Mobil Corporation,Energy,14.653798,1.9254811,15.394,0.2252568608573146,0.08522398092831307,Good
PFE,Pfizer Inc.,Healthcare,34.079998,1.5692534,73.408,0.23200128369563136,-0.25240348348181996,Good
VZ,Verizon Communications Inc.,Communication Services,18.974028,1.9154795,182.615,0.22068199462863355,0.1635181291706609,Good
KO,The Coca-Cola Company,Consumer Defensive,26.356846,10.32342,167.358,0.1302933500258381,0.03145135471402827,Good
PEP,"PepsiCo, Inc.",Consumer Defensive,23.849556,11.413043,229.605,0.15531165285003734,-0.03586780904831177,Good
ABT,Abbott Laboratories,Healthcare,35.346504,5.0684276,37.589,0.19150032852959076,0.07132726606044404,Good
CRM,"Salesforce, Inc.",Technology,57.841187,5.5091424,21.148,0.320115025658266,0.5765901728999427,Good
NKE,"NIKE, Inc.",Consumer Cyclical,22.59599,8.432421,86.962,0.3111964020796541,-0.1390744017635266,Good
AVGO,Broadcom Inc.,Technology,136.7073,2.8393643,166.032,0.3919738240645191,0.8174555686484655,Good
WFC,Wells Fargo & Company,Financial Services,15.413721,1.5063595,,0.2808665363329789,0.34072943072876716,Good
T,AT&T Inc.,Communication Services,19.300812,1.6640965,125.151,0.24000632108982656,0.1978561457516086,Good
LLY,Eli Lilly and Company,Healthcare,87.643326,51.395264,218.081,0.2945290790469657,0.4962135899361928,Bad
ORCL,Oracle Corporation,Technology,47.136597,46.858826,749.978,0.3068766926940063,0.5382116280034335,Good
MDT,Medtronic plc,Healthcare,26.21101,2.2383265,57.859,0.19663417946790734,0.07855044798858524,Good
GE,GE Aerospace,Industrials,35.64497,10.36298,110.224,0.27363231573116287,0.8593133914055131,Bad
NEE,"NextEra Energy, Inc.",Utilities,22.637983,3.1344755,139.015,0.2689037362188891,-0.026309981877343125,Bad
CVX,Chevron Corporation,Energy,17.793406,1.8628838,16.456,0.21369075874838345,-0.0029161150794114743,Good
COST,Costco Wholesale Corporation,Consumer Defensive,59.237034,18.424065,42.118,0.19097372720539701,0.443347417139877,Bad
QCOM,QUALCOMM Incorporated,Technology,18.206047,6.887232,58.765,0.3536469376779798,0.17190810961230651,Good
ABNB,"Airbnb, Inc.",Consumer Cyclical,47.895473,10.3322315,26.614,0.38476353251283263,0.18126684907512836,Good
DUK,Duke Energy Corporation,Utilities,20.402153,1.8216501,169.205,0.17309649295238272,0.11612999874249286,Good
NEE,"NextEra Energy, Inc.",Utilities,22.637983,3.1344755,139.015,0.2689037362188891,-0.026309981877343125,Bad
SO,The Southern Company,Utilities,20.107227,2.8384337,176.35,0.17996049866842298,0.17456439064174378,Good
EXC,Exelon Corporation,Utilities,15.695473,1.4395713,173.221,0.19832601601326394,-0.0070728548978036265,Good
XEL,Xcel Energy Inc.,Utilities,21.06825,2.106325,154.33,0.20842282710903992,0.05292912218064605,Good
AEP,"American Electric Power Company, Inc.",Utilities,19.560484,1.940827,165.878,0.19890003206441215,0.05440479984958313,Good
CAT,Caterpillar Inc.,Industrials,18.544357,9.937775,195.336,0.27375937157021063,0.33415628985232426,Bad
HON,Honeywell International Inc.,Industrials,26.177624,8.478781,177.821,0.17937443566698513,0.048289228422562225,Good
MMM,3M Company,Industrials,13.647243,15.385968,295.441,0.306873556504243,0.17512441818085,Bad
RTX,RTX Corporation,Industrials,34.03458,2.572144,69.597,0.21049171639734504,0.10999253677592113,Good
UPS,"United Parcel Service, Inc.",Industrials,19.593657,6.5636077,155.425,0.2526402826006464,-0.11661004614528037,Good
DE,Deere & Company,Industrials,17.939453,5.448387,288.043,0.25207022891673064,0.03937163015584977,Good
GE,GE Aerospace,Industrials,35.64497,10.36298,110.224,0.27363231573116287,0.8593133914055131,Bad
COP,ConocoPhillips,Energy,12.580071,2.4469314,36.695,0.2640335260721365,-0.02388424103892617,Bad
EOG,"EOG Resources, Inc.",Energy,10.637611,2.5167563,13.911,0.2677901758268704,0.03611950026091115,Good
SLB,Schlumberger Limited,Energy,14.035371,2.8654895,57.141,0.3104652219920568,-0.05915192490631915,Bad
